geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
it	58175.3 	57604.7 	57157.5 	56980.7 	56948.6 	56921.6 	56911.0 	56893.8 	56862.8 	56846.1 
itc1	4300.2 	4250.8 	4222.3 	4216.4 	4222.3 	4228.8 	4235.6 	4242.0 	4247.9 	4255.8 
itc2	122.5 	121.5 	120.2 	119.4 	119.1 	118.7 	118.3 	117.8 	117.3 	116.9 
itc3	1584.9 	1574.8 	1571.1 	1574.6 	1583.4 	1592.9 	1603.1 	1613.6 	1624.0 	1635.2 
itc4	9319.9 	9177.7 	9071.1 	9018.8 	8987.6 	8957.9 	8933.5 	8912.0 	8891.4 	8878.7 
itd1	474.4 	469.5 	465.3 	462.2 	459.8 	457.2 	454.7 	452.1 	449.5 	447.3 
itd2	494.2 	487.0 	480.3 	475.8 	472.4 	468.8 	465.5 	462.4 	459.6 	457.1 
itd3	4671.4 	4610.2 	4553.6 	4519.2 	4496.8 	4474.6 	4454.3 	4435.4 	4417.9 	4404.7 
itd4	1201.5 	1194.9 	1187.6 	1182.4 	1179.7 	1177.7 	1177.1 	1177.5 	1179.1 	1181.7 
itd5	4115.9 	4055.4 	4007.4 	3975.4 	3955.9 	3936.3 	3921.2 	3910.7 	3901.6 	3896.1 
ite1	3582.2 	3541.2 	3506.7 	3496.1 	3493.3 	3491.1 	3491.6 	3493.8 	3496.5 	3501.7 
ite2	853.5 	841.1 	830.2 	825.2 	822.5 	819.8 	818.2 	816.9 	815.1 	813.9 
ite3	1511.8 	1494.7 	1477.9 	1467.5 	1460.7 	1454.8 	1449.5 	1444.7 	1440.4 	1436.8 
ite4	5237.6 	5175.5 	5131.4 	5118.1 	5119.3 	5122.5 	5130.7 	5139.6 	5146.2 	5151.6 
itf1	1292.6 	1279.6 	1267.8 	1261.8 	1261.2 	1260.8 	1259.8 	1258.3 	1256.5 	1254.9 
itf2	321.8 	321.4 	320.8 	321.0 	322.1 	323.4 	324.9 	326.3 	327.6 	328.7 
itf3	5774.7 	5742.7 	5713.2 	5705.1 	5713.2 	5720.2 	5723.2 	5719.5 	5709.5 	5697.8 
itf4	4054.6 	4032.5 	4021.7 	4023.2 	4030.9 	4038.8 	4046.8 	4052.6 	4055.7 	4056.6 
itf5	596.8 	596.9 	597.1 	598.4 	600.4 	602.5 	604.6 	606.5 	608.0 	609.4 
itf6	2010.3 	2009.4 	2008.5 	2014.5 	2024.0 	2035.0 	2046.0 	2053.6 	2059.4 	2063.5 
itg1	5008.2 	4987.7 	4968.9 	4972.7 	4987.0 	4999.5 	5007.8 	5010.7 	5009.8 	5007.1 
itg2	1646.6 	1640.4 	1634.2 	1632.9 	1636.8 	1640.3 	1644.3 	1647.8 	1649.8 	1650.8 
cy	740.0 	722.8 	710.3 	701.5 	694.0 	686.7 	679.0 	670.8 	661.3 	650.9 
